strain	species	species_match	contig_count	N50	largest_contig	total_size	ambiguous_bases	QC_warnings	ST	virulence_score	resistance_score	num_resistance_classes	num_resistance_genes	Yersiniabactin	YbST	Colibactin	CbST	Aerobactin	AbST	Salmochelin	SmST	RmpADC	RmST	rmpA2	wzi	K_locus	K_locus_problems	K_locus_confidence	K_locus_identity	K_locus_missing_genes	O_locus	O_locus_problems	O_locus_confidence	O_locus_identity	O_locus_missing_genes	AGly_acquired	Col_acquired	Fcyn_acquired	Flq_acquired	Gly_acquired	MLS_acquired	Phe_acquired	Rif_acquired	Sul_acquired	Tet_acquired	Tgc_acquired	Tmt_acquired	Bla_acquired	Bla_inhR_acquired	Bla_ESBL_acquired	Bla_ESBL_inhR_acquired	Bla_Carb_acquired	Bla_chr	SHV_mutations	Omp_mutations	Col_mutations	Flq_mutations	truncated_resistance_hits	spurious_resistance_hits	Chr_ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB	ybtS	ybtX	ybtQ	ybtP	ybtA	irp2	irp1	ybtU	ybtT	ybtE	fyuA	clbA	clbB	clbC	clbD	clbE	clbF	clbG	clbH	clbI	clbL	clbM	clbN	clbO	clbP	clbQ	iucA	iucB	iucC	iucD	iutA	iroB	iroC	iroD	iroN	rmpA	rmpD	rmpC	spurious_virulence_hits
GCF_900507285.1	Klebsiella pneumoniae	strong	194	328976	1424666	5538659	no	-	ST16	0	2	10	11	-	0	-	0	-	0	-	0	-	0	-	wzi75	KL105	none	Very high	99.80%		O2v2	none	Very high	98.45%		aac(6')-Ib-cr.v2;aadA2^	-	-	-	-	mphA	CatB4.v1?	-	sul1	tet(A).v1	-	dfrA12	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-1	-	OmpK36-38%	-	GyrA-83F;GyrA-87N;ParC-84K	-	-	ST16	2	1	2	1	4	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900507315.1	Klebsiella pneumoniae	strong	109	253582	621483	5475384	no	-	ST15	0	1	9	11	-	0	-	0	-	0	-	0	-	0	-	wzi93	KL112	-	High	98.63%	KL112_07_wbaP	O1v1	none	Very high	98.52%		aac(6')-Ib-cr.v2;aadA2^;aph3-Ia.v1^	-	-	-	-	mphA	CatB4.v1?	-	sul1	tet(A).v1	-	dfrA12	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	-	SHV-28.v1^	-	-	-	GyrA-83F;GyrA-87A;ParC-80I	-	-	ST15	1	1	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900507325.1	Klebsiella pneumoniae	strong	127	276308	547637	5725917	no	-	ST395	0	2	10	14	-	0	-	0	-	0	-	0	-	0	-	wzi105	KL108	none	Perfect	100.00%		O1v2	none	Very high	98.97%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA2^;aph3-Ia.v1^;rmtC	-	-	-	-	mphA	CatB4.v1?;catA1^	-	sul1	tet(A).v1	-	dfrA1.v1	OXA-1	-	CTX-M-15	-	NDM-1	SHV-11.v1	35Q	OmpK35-72%	-	GyrA-83I;ParC-80I	-	dfrA12?-0%	ST395	3	1	2	4	1	1	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900507335.1	Klebsiella pneumoniae	strong	229	267566	729217	5856081	no	-	ST45	1	2	8	11	ybt 10; ICEKp4	80	-	0	-	0	-	0	-	0	-	wzi50	KL52	none	Very high	99.92%		OL101	*	High	94.93%		aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	-	-	sul2	tet(A).v1	-	dfrA14.v1^	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-1*	-	-	-	-	-	CatB4.v1?-60%;ant(2'')-Ia*?-0%;ant(2'')-Ia*?-51%	ST45	2	1	1	6	7	1	12	3	12	4	11	3	83	18	3	10	16	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900507355.1	Klebsiella pneumoniae	strong	54	344973	1424665	5482784	no	-	ST16	0	2	10	11	-	0	-	0	-	0	-	0	-	0	-	wzi75	KL105	none	Very high	99.80%		O2v2	none	Very high	98.45%		aac(6')-Ib-cr.v2;aadA2^	-	-	-	-	mphA	CatB4.v1?	-	sul1	tet(A).v1	-	dfrA12	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-1	-	-	-	GyrA-83F;GyrA-87N;ParC-84K	-	-	ST16	2	1	2	1	4	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900507365.1	Klebsiella pneumoniae	strong	284	276308	828327	5871204	no	-	ST395	0	2	9	19	-	0	-	0	-	0	-	0	-	0	-	wzi105	KL108	?	Good	100.00%		O1/O2v2	none	Very high	98.97%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA2^;aph3-Ia.v1*?;rmtC;strA.v1^;strB.v1	-	-	-	-	-	CatB4.v1?;catA1^	-	sul2	tet(A).v1;tet(D)	-	dfrA1.v1;dfrA14.v1^	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	NDM-1;OXA-48	SHV-11.v1	35Q	OmpK35-72%	-	GyrA-83I;ParC-80I	sul1?-0%	-	ST395	3	1	2	4	1	1	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900507385.1	Klebsiella pneumoniae	strong	91	298756	927448	5483293	no	-	ST307	0	2	9	13	-	0	-	0	-	0	-	0	-	0	-	wzi173	KL102	?	Good	99.27%		O2v2	none	Very high	98.45%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	CatB4.v1?	-	sul2	tet(A).v1	-	dfrA14.v1^	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-28.v1^	-	-	-	GyrA-83I;ParC-80I	-	-	ST307	4	1	2	52	1	1	7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900507435.1	Klebsiella pneumoniae	strong	436	418613	1459831	5507300	no	-	ST29	1	1	1	1	ybt 9; ICEKp3	181	-	0	-	0	-	0	-	0	-	wzi27	KL10	*	Very high	96.64%		O1v1	none	Very high	98.64%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	CTX-M-15	-	-	SHV-187	-	-	-	-	-	-	ST29	2	3	2	2	6	4	4	5	11	6	5	1	171	172	9	5	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900507455.1	Klebsiella pneumoniae	strong	119	286391	679748	5792880	no	-	ST405	1	2	9	13	ybt 0; ICE?	312	-	0	-	0	-	0	-	0	-	wzi143	KL151	none	Very high	99.23%		O4	none	Very high	99.67%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	CatB4.v1	-	sul2	tet(A).v1	-	dfrA14.v1^	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-76	35Q	-	-	-	-	fosA7*?-0%	ST405	2	1	62	3	10	4	110	6	62	60	4	1	145	148	2	39	69	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900507465.1	Klebsiella pneumoniae	strong	176	211259	466999	5647956	no	-	ST11	0	2	10	14	-	0	-	0	-	0	-	0	-	0	-	wzi177	KL125	*	High	90.39%		O3b	?-	Good	99.06%	O3b_08_wbdC	aac(3)-IId^;aac(6')-Ib-cr.v2;aadA2^	-	-	-	-	mphA	CatB4.v1	-	sul1	tet(D)	-	dfrA12;dfrA14.v1^	OXA-1;TEM-1D.v1^;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	-	-	OmpK35-70%	-	GyrA-83I;ParC-80I	SHV-129?-81%	dfrA17?-0%	ST11	3	3	1	1	1	1	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900507475.1	Klebsiella pneumoniae	strong	100	392404	974476	5548897	no	-	ST985	1	1	8	12	ybt 16; ICEKp12	277	-	0	-	0	-	0	-	0	-	wzi39	KL39	none	Very high	99.55%		O1v2	none	Very high	99.35%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	CatB4.v1?	-	sul2	tet(A).v1	-	dfrA14.v1^	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	-	SHV-187	-	-	-	-	-	-	ST985	10	3	2	2	6	4	4	6	15	5	4	11	33	23	2	11	4	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900507505.1	Klebsiella pneumoniae	strong	140	346883	1392008	5765422	no	-	ST17	0	2	8	12	-	0	-	0	-	0	-	0	-	0	-	wzi162	KL122	none	Very high	99.98%		O2v2	none	Very high	98.52%		aac(3)-IId^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	CatB4.v1?	-	sul2	tet(B).v2*	-	-	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	-	-	OmpK35-45%	-	-	SHV-129*?-81%	aac(3)-IIa.v1?-0%	ST17	2	1	1	1	4	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900507515.1	Klebsiella pneumoniae	strong	85	207128	431043	5438204	no	-	ST15	0	1	8	11	-	0	-	0	-	0	-	0	-	0	-	wzi93	KL112	?	Good	98.65%		O1v1	none	Very high	98.52%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	-	-	-	CatB4.v1	-	sul2	tet(A).v1	-	dfrA14.v1^	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	-	SHV-28.v1^	-	-	-	GyrA-83F;GyrA-87A;ParC-80I	-	-	ST15	1	1	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900507525.1	Klebsiella pneumoniae	strong	83	422157	992975	5459816	no	-	ST4	1	1	8	11	ybt 9; ICEKp3	188	-	0	-	0	-	0	-	0	-	wzi79	KL10	none	Very high	96.68%		O1v1	none	Very high	98.14%		aph3-Ia.v1^;strA.v1^;strB.v1	-	-	qnrS1	-	-	catA1^	-	sul1;sul2*	tet(A).v1	-	dfrA7	TEM-1D.v1^	-	CTX-M-15	-	-	SHV-69*	35Q	-	-	-	-	-	ST4	3	1	1	1	3	3	1	5	11	6	5	1	25	286	9	5	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900507545.1	Klebsiella pneumoniae	strong	90	214722	594091	5718558	no	-	ST392	0	2	9	13	-	0	-	0	-	0	-	0	-	0	-	wzi187	KL27	?	Good	99.27%		O4	none	Very high	99.71%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	CatB4.v1?	-	sul2	tet(A).v1	-	dfrA14.v1^	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-11.v1^	35Q	-	-	GyrA-83I;ParC-80I	-	-	ST392	3	4	6	1	7	4	40	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900507565.1	Klebsiella pneumoniae	strong	108	336036	754725	5793710	no	-	ST147	1	2	9	10	ybt 9; ICEKp3	183	-	0	-	0	-	0	-	0	-	wzi64	KL64	none	Very high	100.00%		O2v1	none	Very high	98.64%		aac(6')-Ib'.v1;aadA*	-	-	-	-	ereA2;ereB	catA1^	arr-2	sul1	-	-	dfrA5	-	-	CTX-M-15	-	OXA-48	SHV-11.v1^	35Q	-	-	GyrA-83I;ParC-80I	OXA-9.v1*-42%;TEM-79*?-0%;tet(A).v1*-3%	-	ST147	3	4	6	1	7	4	38	5	11	6	5	1	25	37	9	5	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900507575.1	Klebsiella pneumoniae	strong	243	364449	726225	5763615	no	-	ST101	1	2	8	11	ybt 9; ICEKp3	183	-	0	-	0	-	0	-	0	-	wzi137	KL17	none	Very high	100.00%		O1v1	none	Very high	98.03%		aac(3)-IIa.v1^;aac(6')-Ib'.v1;aadA*	-	-	-	-	-	CatB4.v1	-	-	tet(D)	-	dfrA14.v1^	OXA-1;OXA-9.v1;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-1^	-	OmpK35-17%;OmpK36GD	-	GyrA-83Y;GyrA-87N;ParC-80I	-	fosA7*?-0%	ST101	2	6	1	5	4	1	6	5	11	6	5	1	25	37	9	5	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900507595.1	Klebsiella pneumoniae	strong	247	135836	554541	5884844	no	-	ST383	0	1	9	19	-	0	-	0	-	0	-	0	-	0	-	wzi50	KL15	none	Very high	99.98%		O4	none	Very high	99.65%		aac(3)-IIa.v1^;aac(6')-Ib'.v2^;aac(6')-Ib-cr.v2;aadA*;aadA2^;ant(2'')-Ia*;strA.v1;strB.v1	-	-	-	-	mphA	CatB4.v1?;catA1^	-	sul1?	tet(A).v1	-	dfrA12	OXA-1;OXA-2*;OXA-9.v1;TEM-1D.v1^	-	CTX-M-15	-	-	SHV-1	-	OmpK36-0%	-	GyrA-83F;GyrA-87N;ParC-80I	-	-	ST383	2	6	1	3	8	1	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900507645.1	Klebsiella pneumoniae	strong	141	289475	724085	5702095	no	-	ST101	1	2	8	10	ybt 9; ICEKp3	183	-	0	-	0	-	0	-	0	-	wzi137	KL17	none	Very high	100.00%		O1v1	none	Very high	98.03%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2	-	-	-	-	-	CatB4.v1	-	-	tet(D)	-	dfrA14.v1^	OXA-1;SCO-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-1^	-	OmpK35-17%;OmpK36GD	-	GyrA-83Y;GyrA-87N;ParC-80I	-	-	ST101	2	6	1	5	4	1	6	5	11	6	5	1	25	37	9	5	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900507685.1	Klebsiella pneumoniae	strong	74	408932	929102	5521568	no	-	ST105	1	1	5	6	ybt 15; ICEKp11	230	-	0	-	0	-	0	-	0	-	wzi383	KL102	none	Very high	99.25%		O2v2	none	Very high	98.44%		strA.v1^;strB.v1	-	-	-	-	-	-	-	sul2	-	-	dfrA14.v1^	TEM-1D.v1^	-	CTX-M-15	-	-	SHV-1^	-	-	-	-	-	-	ST105	2	3	2	1	1	4	18	6	15	22	4	1	37	34	14	1	4	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900507695.1	Klebsiella pneumoniae	strong	59	284530	621478	5453904	no	-	ST15	0	1	9	11	-	0	-	0	-	0	-	0	-	0	-	wzi93	KL112	none	Very high	98.65%		O1v1	none	Very high	98.52%		aac(6')-Ib-cr.v2;aadA2^;aph3-Ia.v1^	-	-	-	-	mphA	CatB4.v1?	-	sul1	tet(A).v1	-	dfrA12	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	-	SHV-28.v1^	-	-	-	GyrA-83F;GyrA-87A;ParC-80I	-	-	ST15	1	1	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900507745.1	Klebsiella pneumoniae	strong	134	256186	488784	5650161	no	-	ST147	0	2	9	11	-	0	-	0	-	0	-	0	-	0	-	wzi420	KL10	none	Very high	96.75%		O3/O3a	none	Very high	97.95%		aac(6')-Ib-cr.v2;aadA*;aph3-Ia.v1^	-	-	-	-	ereA2*	CatB4.v1?;cmlA5	arr-2	sul1*	-	-	-	OXA-1	-	CTX-M-15	-	OXA-48	SHV-11.v1^	35Q	-	-	GyrA-83Y;GyrA-87A;ParC-80I	-	-	ST147	3	4	6	1	7	4	38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900507775.1	Klebsiella pneumoniae	strong	115	176763	372975	5553581	no	-	ST377	1	2	6	6	ybt 16; ICEKp12	277-1LV	-	0	-	0	-	0	-	0	-	wzi173	KL102	none	Very high	99.45%		O2v2	none	Very high	98.54%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2	-	-	-	-	-	CatB4.v1?	-	-	-	-	-	OXA-1	-	CTX-M-15	-	OXA-48	SHV-110	156D;35Q	-	-	GyrA-83Y;GyrA-87A;ParC-80I	-	-	ST377	10	20	2	1	9	11	12	6	15	5	4	11	33	23*	2	11	4	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900507795.1	Klebsiella pneumoniae	strong	120	256206	877959	5673139	no	-	ST147	0	2	9	12	-	0	-	0	-	0	-	0	-	0	-	wzi420	KL10	none	Very high	96.77%		O3/O3a	none	Very high	97.98%		aac(6')-Ib-cr.v2;aadA*;aph3-Ia.v1^	-	-	-	-	ereA2*	CatB4.v1?;cmlA5	arr-2	sul1*	-	-	-	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-11.v1^	35Q	-	-	GyrA-83Y;GyrA-87A;ParC-80I	OXA-9.v1*-42%	-	ST147	3	4	6	1	7	4	38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900507835.1	Klebsiella pneumoniae	strong	67	348754	1076032	5349806	no	-	ST1193	0	1	9	16	-	0	-	0	-	0	-	0	-	0	-	wzi22	KL22	none	Perfect	100.00%		O2v1	none	Very high	98.69%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA2^;strA.v1*;strB.v1*	-	-	qnrS1	-	mphA	CatB4.v1?;catII.2*	-	sul1;sul2	tet(A).v1	-	dfrA12	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	-	SHV-1^	-	-	-	-	-	-	ST1193	2	83	2	1	9	4	135	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900507845.1	Klebsiella pneumoniae	strong	57	395661	728522	5201557	no	-	ST1731	0	2	7	8	-	0	-	0	-	0	-	0	-	0	-	wzi43	KL43	-	High	99.99%	KL43_15_wcpZ	O2v1	none	Very high	98.34%		aadA5	-	-	-	-	ermB.v1*;mphA	-	-	sul1	-	-	dfrA17	TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-11.v1^	35Q	-	-	-	-	-	ST1731	4	1	20	1	7	4	91	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900507865.1	Klebsiella pneumoniae	strong	77	317483	877959	5460304	no	-	ST147	0	2	9	12	-	0	-	0	-	0	-	0	-	0	-	wzi420	KL10	none	Very high	96.77%		O3/O3a	none	Very high	97.98%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2	-	-	qnrB1.v1	-	ereA2*	CatB4.v1;cmlA5	arr-2	sul1*	-	-	-	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-11.v1^	35Q	-	-	GyrA-83Y;GyrA-87A;ParC-80I	OXA-9.v1*-42%;aac(6')-Ib-cr.v2?-0%;aadA*?-0%	-	ST147	3	4	6	1	7	4	38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900507875.1	Klebsiella pneumoniae	strong	95	317483	1239546	5581164	no	-	ST147	1	2	9	11	ybt 10; ICEKp4	28	-	0	-	0	-	0	-	0	-	wzi420	KL10	none	Very high	96.75%		O3/O3a	none	Very high	97.96%		aac(3)-IIa.v1^;aac(6')-Ib'.v1*	-	-	-	-	ereA2*	CatB4.v1;cmlA5	arr-2	sul1*	-	-	-	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-11.v1^	35Q	-	-	GyrA-83Y;GyrA-87A;ParC-80I	OXA-9.v1*-42%;aadA*?-0%	-	ST147	3	4	6	1	7	4	38	16	12	4	3	3	35	50	3	10	23	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900507885.1	Klebsiella pneumoniae	strong	92	371977	765942	5821698	no	-	ST405	1	2	6	7	ybt 0; ICE?	312	-	0	-	0	-	0	-	0	-	wzi143	KL151	none	Very high	99.22%		O4	none	Very high	99.69%		strA.v1^;strB.v1	-	-	-	-	-	-	-	sul2	-	-	dfrA14.v1^	TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-76	35Q	-	-	-	-	fosA7*?-0%	ST405	2	1	62	3	10	4	110	6	62	60	4	1	145	148	2	39	69	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900507905.1	Klebsiella pneumoniae	strong	59	372769	765214	5511716	no	-	ST294	1	2	8	12	ybt unknown	0	-	0	-	0	-	0	-	0	-	wzi274	KL30	none	Very high	99.14%		O2v1	none	Very high	99.88%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	CatB4.v1?	-	sul2	-	-	dfrA14.v1^	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-1^	-	-	-	-	-	-	ST294	2	1	2	1	4	4	87	6*	15*	5*	4*	11	245*	23*	2	11	4	2*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900507915.1	Klebsiella pneumoniae	strong	87	214722	840886	5485304	no	-	ST392	0	3	9	11	-	0	-	0	-	0	-	0	-	0	-	-	KL27	?-	None	99.21%	"KL27_03_wzi,KL27_04_wza,KL27_05_wzb,KL27_06_wzc,KL27_07_wcaJ"	O4	none	Very high	99.71%		aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	CatB4.v1?	-	sul2	-	-	dfrA14.v1^	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-11.v1^	35Q	-	MgrB-49%	GyrA-83I;ParC-80I	-	-	ST392	3	4	6	1	7	4	40	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900507955.1	Klebsiella pneumoniae	strong	148	316805	810706	5484203	no	-	ST147	0	2	6	8	-	0	-	0	-	0	-	0	-	0	-	wzi420	KL10	none	Very high	96.77%		O3/O3a	none	Very high	97.98%		aac(3)-IIa.v1^;aac(6')-Ib'.v1*;aadA*	-	-	-	-	-	CatB4.v1	-	-	-	-	-	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-11.v1^	35Q	-	-	GyrA-83Y;GyrA-87A;ParC-80I	OXA-9.v1*-42%	-	ST147	3	4	6	1	7	4	38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900507965.1	Klebsiella pneumoniae	strong	63	372769	765214	5512816	no	-	ST294	1	2	8	12	ybt unknown	0	-	0	-	0	-	0	-	0	-	wzi274	KL30	none	Very high	99.14%		O2v1	none	Very high	99.88%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	CatB4.v1?	-	sul2	-	-	dfrA14.v1^	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-1^	-	-	-	-	-	-	ST294	2	1	2	1	4	4	87	6*	15*	5*	4*	11	245*	23*	2	11	4	2*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900507985.1	Klebsiella pneumoniae	strong	69	372881	765214	5524743	no	-	ST294	1	2	8	12	ybt unknown	0	-	0	-	0	-	0	-	0	-	wzi274	KL30	none	Very high	99.14%		O2v1	none	Very high	99.88%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	CatB4.v1?	-	sul2	-	-	dfrA14.v1^	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-1^	-	-	-	-	-	-	ST294	2	1	2	1	4	4	87	6*	15*	5*	4*	11	245*	23*	2	11	4	2*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900507995.1	Klebsiella pneumoniae	strong	103	194179	316440	5617637	no	-	ST11	1	2	8	11	ybt 10; ICEKp4	26	-	0	-	0	-	0	-	0	-	wzi75	KL105	none	Perfect	100.00%		O2v2	none	Very high	98.45%		aac(3)-IIa.v1^;aac(6')-Ib'.v1;aadA*;aadA2^	-	-	-	-	-	catA1^	-	sul1	-	-	dfrA12	OXA-9.v1;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-11.v1	35Q	-	-	GyrA-83I;ParC-80I	-	-	ST11	3	3	1	1	1	1	4	16	12	4	3	3	35	33	3	10	9	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900508075.1	Klebsiella pneumoniae	strong	112	276308	798461	5684463	no	-	ST395	0	2	10	14	-	0	-	0	-	0	-	0	-	0	-	wzi105	KL108	none	Very high	100.00%		O1v2	none	Very high	98.97%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA2^;aph3-Ia.v1^;rmtC	-	-	-	-	mphA	CatB4.v1?;catA1^	-	sul1	tet(A).v1	-	dfrA1.v1	OXA-1	-	CTX-M-15	-	NDM-1	SHV-11.v1	35Q	OmpK35-72%	-	GyrA-83I;ParC-80I	-	dfrA12?-0%	ST395	3	1	2	4	1	1	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
